SL.No.,"CITY 1","CITY 2","PASSENGER TO CITY 2","PASSENGER FROM CITY 2"
1,"AGATTI ISLAND",BENGALURU,44,47
2,"AGATTI ISLAND",KOCHI,475,600
3,AGRA,DELHI,0,5
4,AGRA,KHAJURAHO,31,0
5,AGRA,VARANASI,0,131
6,AHMEDABAD,BENGALURU,8813,8252
7,AHMEDABAD,BENGALURU,3349,3542
8,AHMEDABAD,BHOPAL,762,518
9,AHMEDABAD,CHENNAI,12636,13147
10,AHMEDABAD,DELHI,50416,49477
11,AHMEDABAD,DIBRUGARH,221,262
12,AHMEDABAD,GOA,4498,4414
13,AHMEDABAD,GUWAHATI,964,884
14,AHMEDABAD,HYDERABAD,10844,11075
15,AHMEDABAD,IMPHAL,0,70
16,AHMEDABAD,INDORE,439,648
17,AHMEDABAD,JAIPUR,2759,2842
18,AHMEDABAD,KOCHI,1621,1948
19,AHMEDABAD,KOLKATA,10777,9785
20,AHMEDABAD,LUCKNOW,1028,888
21,AHMEDABAD,MUMBAI,84257,82079
22,AHMEDABAD,NAGPUR,967,1071
23,AHMEDABAD,PUNE,13292,13682
24,AIZAWL,GUWAHATI,1857,1703
25,AIZAWL,IMPHAL,339,342
26,AIZAWL,KOLKATA,3930,4021
27,AMRITSAR,BENGALURU,87,148
28,AMRITSAR,CHENNAI,148,196
29,AMRITSAR,DELHI,27768,29209
30,AMRITSAR,MUMBAI,5035,5528
31,AMRITSAR,SRINAGAR,3910,4444
32,BAGDOGRA,CHENNAI,1970,2288
33,BELGAUM,CHENNAI,521,374
34,BENGALURU,AGARTALA,933,1130
35,BENGALURU,AGARTALA,341,509
36,BENGALURU,BAGDOGRA,2725,2250
37,BENGALURU,BELGAUM,3775,3847
38,BENGALURU,CHANDIGARH,4993,4771
39,BENGALURU,CHANDIGARH,3740,3612
40,BENGALURU,CHENNAI,20487,21070
41,BENGALURU,CHENNAI,11168,10938
42,BENGALURU,COCHIN,7209,8458
43,BENGALURU,COIMBATORE,4201,4549
44,BENGALURU,COIMBATORE,1462,1744
45,BENGALURU,"DEHRA DUN",290,304
46,BENGALURU,DELHI,74793,74111
47,BENGALURU,DELHI,55104,51644
48,BENGALURU,GOA,14783,14400
49,BENGALURU,GOA,9846,9585
50,BENGALURU,GUWAHATI,3397,3047
51,BENGALURU,GUWAHATI,40,37
52,BENGALURU,HUBLI,1353,1443
53,BENGALURU,HYDERABAD,28130,29709
54,BENGALURU,HYDERABAD,13244,12659
55,BENGALURU,IMPHAL,155,153
56,BENGALURU,INDORE,1307,2188
57,BENGALURU,JABALPUR,320,529
58,BENGALURU,JAIPUR,10297,9558
59,BENGALURU,JAIPUR,10154,9660
60,BENGALURU,JODHPUR,451,302
61,BENGALURU,JORHAT,69,50
62,BENGALURU,KOCHI,12018,12323
63,BENGALURU,KOCHI,8910,9351
64,BENGALURU,KOLKATA,25162,21910
65,BENGALURU,KOLKATA,13112,12363
66,BENGALURU,KOZHIKODE,1637,1826
67,BENGALURU,LUCKNOW,4828,4465
68,BENGALURU,MADURAI,1263,1387
