S.No.,CITY1,CITY2,"PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,1142,854
2,"AGATTI ISLAND",BENGALURU,182,124
3,"AGATTI ISLAND",KOCHI,778,729
4,AGRA,DELHI,0,64
5,AGRA,KHAJURAHO,392,0
6,AGRA,VARANASI,0,1052
7,AHMEDABAD,BENGALURU,16902,16007
8,AHMEDABAD,BHOPAL,724,344
9,AHMEDABAD,CHENNAI,12666,12260
10,AHMEDABAD,COIMBATORE,1188,1289
11,AHMEDABAD,DELHI,71759,67813
12,AHMEDABAD,DIBRUGARH,474,423
13,AHMEDABAD,GOA,9575,9379
14,AHMEDABAD,GUWAHATI,952,1044
15,AHMEDABAD,HYDERABAD,9736,9100
16,AHMEDABAD,IMPHAL,0,102
17,AHMEDABAD,INDORE,2901,3470
18,AHMEDABAD,JAIPUR,3966,3946
19,AHMEDABAD,KOCHI,2468,2358
20,AHMEDABAD,KOLKATA,13549,13190
21,AHMEDABAD,LUCKNOW,1569,1306
22,AHMEDABAD,MUMBAI,100470,100773
23,AHMEDABAD,NAGPUR,1342,1336
24,AHMEDABAD,PUNE,16958,16515
25,AHMEDABAD,RAIPUR,725,796
26,AIZAWL,GUWAHATI,1713,1395
27,AIZAWL,IMPHAL,369,560
28,AIZAWL,KOLKATA,4818,3974
29,AMRITSAR,BENGALURU,124,184
30,AMRITSAR,CHENNAI,331,186
31,AMRITSAR,DELHI,29428,32867
32,AMRITSAR,MUMBAI,5524,5797
33,AMRITSAR,SRINAGAR,3132,4948
34,BAGDOGRA,CHENNAI,1321,1909
35,BENGALURU,AGARTALA,364,618
36,BENGALURU,BAGDOGRA,2689,2645
37,BENGALURU,BELGAUM,2202,2226
38,BENGALURU,CHANDIGARH,8002,7655
39,BENGALURU,CHENNAI,33680,32483
40,BENGALURU,COCHIN,0,7446
41,BENGALURU,COIMBATORE,6370,6363
42,BENGALURU,"DEHRA DUN",340,537
43,BENGALURU,DELHI,147684,141710
44,BENGALURU,GOA,28440,29236
