Sl.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,774,193
2,"AGATTI ISLAND",BENGALURU,77,83
3,"AGATTI ISLAND",KOCHI,851,803
4,AGRA,DELHI,0,54
5,AGRA,KHAJURAHO,269,0
6,AGRA,VARANASI,0,1059
7,AHMEDABAD,BENGALURU,16159,15728
8,AHMEDABAD,BHOPAL,631,265
9,AHMEDABAD,CHENNAI,12079,12219
10,AHMEDABAD,COIMBATORE,1004,1024
11,AHMEDABAD,DELHI,70121,67286
12,AHMEDABAD,DIBRUGARH,250,189
13,AHMEDABAD,GOA,8907,8790
14,AHMEDABAD,GUWAHATI,703,834
15,AHMEDABAD,HYDERABAD,9619,9435
16,AHMEDABAD,IMPHAL,0,70
17,AHMEDABAD,INDORE,2468,2870
18,AHMEDABAD,JAIPUR,3564,3447
19,AHMEDABAD,KOCHI,1299,1442
20,AHMEDABAD,KOLKATA,14054,12915
21,AHMEDABAD,LUCKNOW,837,749
22,AHMEDABAD,MUMBAI,97949,88113
23,AHMEDABAD,NAGPUR,1446,1226
24,AHMEDABAD,PUNE,16460,16479
25,AHMEDABAD,RAIPUR,1122,1138
26,AIZAWL,AHMEDABAD,2,0
27,AIZAWL,DELHI,111,131
28,AIZAWL,GUWAHATI,1619,1524
29,AIZAWL,IMPHAL,477,467
30,AIZAWL,KOLKATA,4330,4429
31,AMRITSAR,BENGALURU,195,301
32,AMRITSAR,CHENNAI,424,283
33,AMRITSAR,DELHI,35319,34383
34,AMRITSAR,MUMBAI,6190,6459
35,AMRITSAR,SRINAGAR,5357,5231
36,BAGDOGRA,CHENNAI,1545,1410
37,BELGAUM,JABALPUR,2,17
38,BENGALURU,AGARTALA,812,759
39,BENGALURU,BAGDOGRA,2081,1442
40,BENGALURU,BELGAUM,2278,2252
41,BENGALURU,CHANDIGARH,13968,19911
42,BENGALURU,CHENNAI,37094,37033
43,BENGALURU,COIMBATORE,7307,6899
