S.No.,CITY 1,CITY 2,"PASSENGERS 
TO CITY 2","PASSENGERS 
FROM CITY 2","FREIGHT 
TO CITY 2","FREIGHT 
FROM CITY 2","MAIL 
TO CITY 2","MAIL 
FROM CITY 2"
1,ADAMPUR,DELHI,939,863,0,0,0,0
2,ADAMPUR,KANDLA,0,4,0,0,0,0
3,ADAMPUR,MUMBAI,912,558,0,0,0,0
4,AGARTALA,BENGALURU,4214,3504,0.1,1.2,0,1.2
5,AGARTALA,CHENNAI,961,1138,0.1,1.6,0,0
6,AGARTALA,DELHI,3916,4923,3.4,22.4,1.8,3.6
7,AGARTALA,GUWAHATI,4266,4675,17,22.3,7.7,4.3
8,AGARTALA,IMPHAL,1545,1303,1.8,3,0.4,0
9,AGARTALA,KOLKATA,23824,25224,11.1,205.3,4.8,11.1
10,AGRA,JAIPUR,7,4,0,0,0,0
11,AHMEDABAD,AJMER,1265,1457,0,0,0,0
12,AHMEDABAD,BAGDOGRA,1545,1929,1.9,4.1,0,0
13,AHMEDABAD,BELGAUM,768,724,0,0,0,0
14,AHMEDABAD,BENGALURU,26941,21798,175,233.9,1.3,15.7
15,AHMEDABAD,BHUBANESWAR,4055,4616,14.8,0.7,1.8,1.2
16,AHMEDABAD,CHANDIGARH,6136,6238,52,27.6,0,0.8
17,AHMEDABAD,CHENNAI,14166,10471,257.6,197.2,5.9,7.2
18,AHMEDABAD,COIMBATORE,2986,2286,9,4.6,0,0
19,AHMEDABAD,DABOLIM,15446,11817,24.2,18.3,0,0
20,AHMEDABAD,DEHRA DUN,3467,3990,0.3,1.1,0,0
21,AHMEDABAD,DELHI,35262,42319,1029.7,1197.2,3.8,17
22,AHMEDABAD,GUWAHATI,980,956,10.1,0.2,0,0
23,AHMEDABAD,GWALIOR,190,258,0,0,0,0
24,AHMEDABAD,HYDERABAD,17451,16766,78.8,77.8,3.5,4.5
25,AHMEDABAD,INDORE,1878,6661,0.1,1.9,0.1,0.6
26,AHMEDABAD,JAIPUR,11125,7900,6.9,3.5,0,0
27,AHMEDABAD,JAISALMER,2628,2264,0,0,0,0
28,AHMEDABAD,JALGAON,302,416,0,0,0,0
29,AHMEDABAD,JAMMU,1267,1113,0.5,0,0,0
30,AHMEDABAD,KANDLA,1347,1448,0,0,0,0
31,AHMEDABAD,KANPUR,1560,2162,9.3,0.7,0,0
32,AHMEDABAD,KOCHI,4019,2536,18.6,2,13.3,1.8
33,AHMEDABAD,KOLKATA,11435,10367,89.3,102.1,15,2.5
34,AHMEDABAD,LUCKNOW,13499,13431,19.8,16.4,1.2,2
35,AHMEDABAD,MUMBAI,19398,17996,734.6,686.3,8.4,66.3
36,AHMEDABAD,NAGPUR,3408,1847,40,0.6,0,0
37,AHMEDABAD,NASIK,1553,1559,0,0,0,0
38,AHMEDABAD,PATNA,7489,10356,69.7,5.2,0.9,0
39,AHMEDABAD,PORBANDAR,639,842,0,0,0,0
40,AHMEDABAD,PUNE,6860,5671,8.7,16.5,0.9,0.8
41,AHMEDABAD,RAIPUR,2208,2692,3.3,0.6,0,0
42,AHMEDABAD,SRINAGAR,1220,793,0.4,0,0,0
43,AHMEDABAD,TRIVANDRUM,413,419,0,0.1,0,0.4
44,AHMEDABAD,UDAIPUR,298,319,0,0,0,0
45,AHMEDABAD,VADODARA,9,0,0,0,0,0
46,AHMEDABAD,VARANASI,8665,8571,23.9,3.8,0.2,0
47,AIZAWL,DELHI,717,933,0,0.8,0,0
48,AIZAWL,GUWAHATI,1017,1118,0,0.2,0,0.1
49,AIZAWL,IMPHAL,383,335,0.3,0.1,0,0
50,AIZAWL,KOLKATA,2358,2338,9.3,13,0,2
51,AJMER,DELHI,1686,1479,0,0,0,0
52,AJMER,HYDERABAD,1634,1646,0,0.3,0,0
53,AJMER,INDORE,593,591,0,0,0,0
54,AJMER,SURAT,199,200,0,0,0,0
55,ALLAHABAD,BENGALURU,5099,3743,0.8,0.7,0,0
56,ALLAHABAD,DELHI,5815,4294,11.4,29.3,0,8.2
57,ALLAHABAD,GORAKHPUR,486,1355,0,0,0,0
58,ALLAHABAD,KOLKATA,1814,1585,0,0,0,0
59,ALLAHABAD,MUMBAI,5032,4218,0,0.3,0,1.4
60,ALLAHABAD,PUNE,4510,3063,27.4,11.8,1.7,0
61,ALLAHABAD,RAIPUR,1967,1677,0,0,0,0
62,AMRITSAR,BENGALURU,3406,2627,32.1,8.6,0,2.2
63,AMRITSAR,DELHI,32932,30507,36.1,43.7,1.2,23.3
64,AMRITSAR,GUWAHATI,82,159,0,0,0,0
65,AMRITSAR,KOLKATA,4511,4428,0.7,4.5,2.1,1.2
66,AMRITSAR,MUMBAI,6576,5390,3.6,3.7,0,0.7
67,AMRITSAR,NANDED,1113,813,0,0,0,0
68,AMRITSAR,PATNA,969,969,0,0,0,0
69,AMRITSAR,SRINAGAR,1365,1654,1.5,0.1,0,0
70,AURANGABAD,BENGALURU,845,697,5.8,0.1,0,0
71,AURANGABAD,CHENNAI,55,58,0,0,0,0
72,AURANGABAD,DELHI,3704,4157,41.9,48.3,0.2,0.2
73,AURANGABAD,HYDERABAD,2065,2137,0,0,0,0
74,AURANGABAD,MUMBAI,2822,2662,4.7,1,0.3,3.1
75,BAGDOGRA,BENGALURU,24323,18744,96,56.1,1.9,0.6
76,BAGDOGRA,CHENNAI,4784,3086,18.1,3.6,0.4,0.1
77,BAGDOGRA,DELHI,29252,32097,91.1,147,7.1,8.2
78,BAGDOGRA,DIBRUGARH,1548,2727,0,0,0,0
79,BAGDOGRA,GUWAHATI,1777,3910,0,0,0,0
80,BAGDOGRA,HYDERABAD,5456,5125,21.3,8.9,0,0
81,BAGDOGRA,JAIPUR,257,294,0,0.2,0,0
82,BAGDOGRA,JAMMU,291,0,0,0,0,0
83,BAGDOGRA,KOLKATA,31121,34521,75.8,42.4,13.5,23
84,BAGDOGRA,LUCKNOW,0,180,0,0,0,0
85,BAGDOGRA,MUMBAI,6896,4795,21.6,17.6,0,1.9
86,BAGDOGRA,PUNE,0,250,0,0,0,0
87,BELGAUM,BENGALURU,3525,3634,0,0.4,0,0
88,BELGAUM,HYDERABAD,6513,6561,0.1,0.8,0,0
89,BELGAUM,INDORE,505,545,0,0,0,0
90,BELGAUM,KADAPA,1326,1303,0,0,0,0
91,BELGAUM,MUMBAI,2718,3050,1.4,6.8,0,0
92,BELGAUM,MYSORE,1082,1107,0,0,0,0
93,BELGAUM,PUNE,731,735,0,0,0,0
94,BELGAUM,SURAT,115,188,0,0,0,0
95,BELGAUM,TIRUPATI,645,712,0,0,0,0
96,BENGALURU,BHOPAL,4142,5732,17.1,0.3,3.1,1.7
97,BENGALURU,BHUBANESWAR,25229,25625,78.3,9.4,12.5,3.5
98,BENGALURU,"BIDAR AIRPORT, KARNATAKA",708,706,0,0,0,0
99,BENGALURU,CHANDIGARH,12339,11598,188.1,145.3,8.1,2.3
100,BENGALURU,CHENNAI,23405,26087,753.7,459.3,35,27.7
101,BENGALURU,COIMBATORE,7096,8641,19.3,6,2.2,0
102,BENGALURU,DABOLIM,32724,25940,21.8,19.1,1.3,3.2
103,BENGALURU,DEHRA DUN,4436,5128,2.6,15.5,2.5,0.3
104,BENGALURU,DELHI,70276,90729,2078,2134.2,41.5,32.9
105,BENGALURU,GORAKHPUR,274,0,0,0,0,0
106,BENGALURU,GUWAHATI,23212,21938,140.5,15.5,26.2,7
107,BENGALURU,GWALIOR,1387,1412,0.1,0,0,0
108,BENGALURU,HUBLI,4820,4211,0.8,0,0.1,0
109,BENGALURU,HYDERABAD,36443,40126,125.7,59.3,29.4,6.4
110,BENGALURU,IMPHAL,1801,1427,8.5,35.1,0,0
111,BENGALURU,INDORE,6627,8186,142.3,70.7,8.3,2.1
112,BENGALURU,JABALPUR,1799,1958,2.1,0.8,0,0
