S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,521,974
2,AGARTALA,SILCHAR,2,0
3,"AGATTI ISLAND",KOCHI,1623,0
4,AGRA,DELHI,0,54
5,AGRA,KHAJURAHO,189,0
6,AGRA,VARANASI,0,530
7,AHMEDABAD,BENGALURU,15132,15628
8,AHMEDABAD,CHENNAI,12779,13207
9,AHMEDABAD,COIMBATORE,831,408
10,AHMEDABAD,DELHI,74176,65564
11,AHMEDABAD,GOA,6699,6557
12,AHMEDABAD,GUWAHATI,692,885
13,AHMEDABAD,HYDERABAD,9487,9191
14,AHMEDABAD,IMPHAL,0,56
15,AHMEDABAD,INDORE,1212,1273
16,AHMEDABAD,JAIPUR,3443,3168
17,AHMEDABAD,KOCHI,1633,1688
18,AHMEDABAD,KOLKATA,12982,11701
19,AHMEDABAD,MUMBAI,88155,86931
20,AHMEDABAD,NAGPUR,649,611
21,AHMEDABAD,PUNE,15300,15836
22,AHMEDABAD,RAIPUR,589,448
23,AIZAWL,AHMEDABAD,9,18
24,AIZAWL,DELHI,694,708
25,AIZAWL,GUWAHATI,1375,1546
26,AIZAWL,IMPHAL,444,510
27,AIZAWL,KOLKATA,3476,4099
28,AMRITSAR,BENGALURU,208,217
29,AMRITSAR,CHENNAI,356,213
30,AMRITSAR,DELHI,37088,29445
31,AMRITSAR,MUMBAI,5469,5046
32,AMRITSAR,SRINAGAR,4408,4622
33,BAGDOGRA,CHENNAI,1064,1581
34,BELGAUM,JABALPUR,9,21
35,BENGALURU,AGARTALA,676,897
36,BENGALURU,BAGDOGRA,2806,2244
37,BENGALURU,BELGAUM,2218,2137
38,BENGALURU,CHANDIGARH,8662,7949
39,BENGALURU,CHENNAI,43499,44397
40,BENGALURU,COIMBATORE,9335,9424
41,BENGALURU,"DEHRA DUN",332,393
42,BENGALURU,DELHI,170267,157947
43,BENGALURU,GOA,27616,27086
44,BENGALURU,GUWAHATI,7860,6829
45,BENGALURU,HUBLI,2325,2285
46,BENGALURU,HYDERABAD,50661,50570
47,BENGALURU,IMPHAL,235,739
48,BENGALURU,INDORE,1788,2025
49,BENGALURU,JAIPUR,20395,17920
50,BENGALURU,JODHPUR,702,941
51,BENGALURU,JORHAT,96,84
52,BENGALURU,KOCHI,25755,23834
53,BENGALURU,KOLKATA,53265,45551
54,BENGALURU,KOZHIKODE,1899,1825
55,BENGALURU,LUCKNOW,7337,6653
56,BENGALURU,MADURAI,2929,2860
