S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGRA,DELHI,0,56
2,AGRA,KHAJURAHO,338,0
3,AGRA,JAIPUR,392,265
4,AGRA,VARANASI,0,965
5,"AGATTI ISLAND",KOCHI,1294,1515
6,AIZAWL,AHMEDABAD,35,3
7,AIZAWL,MUMBAI,415,227
8,AIZAWL,KOLKATA,7437,6391
9,AIZAWL,DELHI,920,595
10,AIZAWL,GUWAHATI,3432,2936
11,AIZAWL,IMPHAL,199,260
12,AHMEDABAD,BHUBANESWAR,727,0
13,AHMEDABAD,BENGALURU,46738,45361
14,AHMEDABAD,MUMBAI,98504,96427
15,AHMEDABAD,KOLKATA,20517,19270
16,AHMEDABAD,COIMBATORE,810,792
17,AHMEDABAD,KOCHI,5608,6003
18,AHMEDABAD,DELHI,105956,104837
19,AHMEDABAD,GUWAHATI,394,125
20,AHMEDABAD,GOA,14232,14969
21,AHMEDABAD,HYDERABAD,26720,26032
22,AHMEDABAD,INDORE,1467,1474
23,AHMEDABAD,IMPHAL,0,70
24,AHMEDABAD,MANGALORE,28,201
25,AHMEDABAD,JAIPUR,15023,13507
26,AHMEDABAD,LUCKNOW,5715,5418
27,AHMEDABAD,CHENNAI,21907,21460
28,AHMEDABAD,NAGPUR,433,282
29,AHMEDABAD,PUNE,22980,23516
30,AHMEDABAD,TRIVANDRUM,238,407
31,AHMEDABAD,VARANASI,4748,4473
32,AHMEDABAD,VISAKHAPATNAM,664,748
33,AMRITSAR,BENGALURU,2406,2651
34,AMRITSAR,MUMBAI,15032,14806
35,AMRITSAR,KOLKATA,235,361
36,AMRITSAR,COIMBATORE,0,117
37,AMRITSAR,DELHI,56358,59686
38,AMRITSAR,GOA,0,190
39,AMRITSAR,BAGDOGRA,0,115
40,AMRITSAR,JAMMU,454,709
41,AMRITSAR,JAIPUR,50,49
42,AMRITSAR,CHENNAI,232,0
43,AMRITSAR,NANDED,1084,1053
44,AMRITSAR,PUNE,761,518
45,AMRITSAR,SRINAGAR,1640,2350
46,BHUBANESWAR,BENGALURU,32063,31513
47,BHUBANESWAR,MUMBAI,20567,20377
48,BHUBANESWAR,KOLKATA,31056,29036
49,BHUBANESWAR,COIMBATORE,259,341
50,BHUBANESWAR,DELHI,45273,44378
51,BHUBANESWAR,HYDERABAD,28225,30043
52,BHUBANESWAR,INDORE,42,0
53,BHUBANESWAR,MADURAI,0,317
54,BHUBANESWAR,RANCHI,3481,3712
55,BHUBANESWAR,CHENNAI,5420,5566
56,BHUBANESWAR,SRINAGAR,0,47
57,BHUBANESWAR,VISAKHAPATNAM,2111,1267
58,VADODARA,MUMBAI,27670,26548
59,VADODARA,KOLKATA,242,85
60,VADODARA,KOCHI,44,0
61,VADODARA,DELHI,18214,17474
62,VADODARA,HYDERABAD,524,414
63,VADODARA,MANGALORE,109,0
64,VADODARA,LUCKNOW,0,164
65,VADODARA,CHENNAI,431,451
66,BHUJ,MUMBAI,8983,8362
67,BHUJ,DELHI,372,356
68,BHOPAL,MUMBAI,13259,11456
69,BHOPAL,DELHI,16441,15886
70,BHOPAL,LUCKNOW,1916,1612
71,BHOPAL,RAIPUR,1177,1885
72,BHAVNAGAR,MUMBAI,1195,1224
73,BIKANER,DELHI,1703,1590
74,BENGALURU,MUMBAI,156070,156839
75,BENGALURU,KOZHIKODE,3852,3888
76,BENGALURU,KOLKATA,78447,77234
77,BENGALURU,COIMBATORE,17616,19186
78,BENGALURU,KOCHI,59258,66500
79,BENGALURU,"DEHRA DUN",5191,5629
80,BENGALURU,DELHI,185692,181900
81,BENGALURU,GUWAHATI,17202,15858
82,BENGALURU,GOA,47005,51189
83,BENGALURU,HUBLI,2538,2744
84,BENGALURU,HYDERABAD,99138,101004
85,BENGALURU,INDORE,4839,6017
86,BENGALURU,IMPHAL,1039,792
87,BENGALURU,AGARTALA,710,1007
88,BENGALURU,BAGDOGRA,6122,6015
89,BENGALURU,CHANDIGARH,9508,10522
90,BENGALURU,MANGALORE,25059,25724
91,BENGALURU,BELGAUM,4327,4528
92,BENGALURU,JAMMU,0,114
93,BENGALURU,MADURAI,7568,7393
94,BENGALURU,RANCHI,11830,14035
95,BENGALURU,SILCHAR,852,471
96,BENGALURU,"PORT BLAIR",4161,4484
97,BENGALURU,JAIPUR,26492,24721
98,BENGALURU,JODHPUR,201,396
99,BENGALURU,LUCKNOW,21636,20076
100,BENGALURU,CHENNAI,46825,46690
101,BENGALURU,NAGPUR,12081,12608
102,BENGALURU,PATNA,19019,16089
103,BENGALURU,PUNE,69646,71621
104,BENGALURU,RAJAHMUNDRY,1355,1407
105,BENGALURU,RAIPUR,2758,1762
106,BENGALURU,SRINAGAR,1758,2112
107,BENGALURU,TIRUPATI,2569,2407
108,BENGALURU,TRIVANDRUM,27515,30401
109,BENGALURU,UDAIPUR,61,65
110,BENGALURU,VIJAYAWADA,5950,5823
111,BENGALURU,VARANASI,4310,4638
112,BENGALURU,VISAKHAPATNAM,20650,21383
113,MUMBAI,KOZHIKODE,11917,12987
114,MUMBAI,KOLKATA,91022,88494
115,MUMBAI,COIMBATORE,20291,20154
116,MUMBAI,KOCHI,59653,61377
117,MUMBAI,"DEHRA DUN",5078,5747
118,MUMBAI,DELHI,320155,313283
119,MUMBAI,DIU,957,911
120,MUMBAI,GUWAHATI,9948,5640
121,MUMBAI,GOA,111749,113884
122,MUMBAI,HUBLI,1002,1109
123,MUMBAI,HYDERABAD,103622,104388
124,MUMBAI,INDORE,30359,30483
125,MUMBAI,NASIK,190,169
126,MUMBAI,BAGDOGRA,4453,4414
