S.No.,"CITY 1","CITY 2","PASSENGERS 
TO CITY 2","PASSENGERS 
FROM CITY 2","FREIGHT 
TO CITY 2","FREIGHT 
FROM CITY 2","MAIL 
TO CITY 2","MAIL 
FROM CITY 2"
1,ADAMPUR,DELHI,2268,2257,0,0.88999,0,0
2,AGARTALA,CHENNAI,1932,1974,0.1,0.083,0,0.215
3,"AGATTI ISLAND",BENGALURU,60,65,0,0,0,0
4,"AGATTI ISLAND",KOCHI,1113,1298,0,0,0,0
5,AGRA,DELHI,0,40,0,0,0,0
6,AGRA,JAIPUR,519,588,0,0,0,0
7,AGRA,KHAJURAHO,145,0,0,0,0,0
8,AGRA,VARANASI,0,540,0,0,0,0
9,AHMEDABAD,AJMER,1759,1437,0,0,0,0
10,AHMEDABAD,ALLAHABAD,9,35,0,0,0,0
11,AHMEDABAD,BAGDOGRA,2457,2202,0.17,6.58223,0,0
12,AHMEDABAD,BENGALURU,39062,46183,208.78888,196.00053,1.595,0.217
13,AHMEDABAD,BHUBANESWAR,1078,0,10.85,0,0.064,0
14,AHMEDABAD,CHANDIGARH,4567,4443,10.44,23.15,0,0
15,AHMEDABAD,CHENNAI,21286,21110,224.14302,241.54004,0.345,0.15
16,AHMEDABAD,COIMBATORE,137,106,0.011,0,0,0
17,AHMEDABAD,DABOLIM,15701,16055,11.13002,10.64749,0,0
18,AHMEDABAD,"DEHRA DUN",2317,2313,0.139,0,0,0
19,AHMEDABAD,DELHI,87445,79002,1166.93895,1250.01327,9.169,10.881
20,AHMEDABAD,HUBLI,4283,4929,32.988,10.366,0,0
21,AHMEDABAD,HYDERABAD,27757,30550,119.28701,108.49968,1.966,0.018
22,AHMEDABAD,IMPHAL,0,176,0,0,0,0
23,AHMEDABAD,INDORE,1337,1363,0,0,0,0
24,AHMEDABAD,JABALPUR,1817,1621,11.76817,0.35274,0,0
25,AHMEDABAD,JAIPUR,13388,11512,15.05479,20.0901,0.337,1.553
26,AHMEDABAD,JAISALMER,1479,1463,0,0,0,0
27,AHMEDABAD,KOCHI,13467,12036,35.07,6.355,1.563,0.958
28,AHMEDABAD,KOLKATA,20764,18127,236.466,124.382,4.363,5.297
29,AHMEDABAD,LUCKNOW,9430,8811,59.429,7.061,2.204,0
30,AHMEDABAD,MANGALORE,0,172,0,0.002,0,8.902
31,AHMEDABAD,MUMBAI,73004,69813,913.72231,887.86558,5.6174,5.1129
32,AHMEDABAD,NAGPUR,882,521,7.347,0.753,0,0.037
33,AHMEDABAD,NASIK,2394,2354,0,0,0,0
34,AHMEDABAD,PATNA,4906,4798,47.80031,0.47266,0,0
35,AHMEDABAD,PORBANDAR,870,880,0,0,0,0
36,AHMEDABAD,PUNE,23026,24461,43.79271,44.33839,3.082,0.531
37,AHMEDABAD,TRIVANDRUM,0,504,0,0.015,0,0
38,AHMEDABAD,UDAIPUR,290,288,0,0,0,0
39,AHMEDABAD,VARANASI,6412,5551,26.66028,2.351,0,0
