S.No.,"CITY 1","CITY 2","PASSENGER TO CITY 2","PASSENGER FROM CITY 2"
1,AGARTALA,CHENNAI,689,567
2,"AGATTI ISLAND",BENGALURU,146,144
3,"AGATTI ISLAND",KOCHI,720,709
4,AGRA,DELHI,0,66
5,AGRA,KHAJURAHO,307,0
6,AGRA,VARANASI,0,909
7,AHMEDABAD,BENGALURU,15192,14784
8,AHMEDABAD,BHOPAL,894,697
9,AHMEDABAD,CHENNAI,9302,9246
10,AHMEDABAD,COIMBATORE,987,887
11,AHMEDABAD,DELHI,63558,72522
12,AHMEDABAD,DIBRUGARH,339,395
13,AHMEDABAD,GOA,9834,9164
14,AHMEDABAD,GUWAHATI,859,948
15,AHMEDABAD,HYDERABAD,9854,9202
16,AHMEDABAD,IMPHAL,0,116
17,AHMEDABAD,INDORE,2880,3420
18,AHMEDABAD,JAIPUR,4358,4343
19,AHMEDABAD,KOCHI,2305,2396
20,AHMEDABAD,KOLKATA,13214,14235
21,AHMEDABAD,LUCKNOW,1265,1013
22,AHMEDABAD,MUMBAI,100086,101057
23,AHMEDABAD,NAGPUR,1405,1362
24,AHMEDABAD,PUNE,17111,16745
25,AHMEDABAD,RAIPUR,857,945
26,AIZAWL,GUWAHATI,1425,1489
27,AIZAWL,IMPHAL,499,428
28,AIZAWL,KOLKATA,3798,4777
29,AMRITSAR,BENGALURU,205,181
30,AMRITSAR,CHENNAI,295,206
31,AMRITSAR,DELHI,32171,33059
32,AMRITSAR,MUMBAI,5717,5577
33,AMRITSAR,SRINAGAR,3505,5197
34,BAGDOGRA,CHENNAI,651,1090
35,BELGAUM,CHENNAI,515,407
36,BENGALURU,AGARTALA,417,690
37,BENGALURU,BAGDOGRA,2964,2839
38,BENGALURU,BELGAUM,3780,3576
39,BENGALURU,CHANDIGARH,8048,8331
40,BENGALURU,CHENNAI,25164,24257
41,BENGALURU,COCHIN,0,15247
42,BENGALURU,COIMBATORE,6606,6170
43,BENGALURU,"DEHRA DUN",432,506
44,BENGALURU,DELHI,156196,163789
45,BENGALURU,GOA,29552,27869
46,BENGALURU,GUWAHATI,6020,5077
47,BENGALURU,HUBLI,2479,2307
48,BENGALURU,HYDERABAD,56157,56291
49,BENGALURU,IMPHAL,417,401
50,BENGALURU,INDORE,1553,2197
51,BENGALURU,JABALPUR,9,18
52,BENGALURU,JAIPUR,24189,24545
