S.No.,"CITY 1","CITY 2","PASSENGERS 
TO CITY 2","PASSENGERS 
FROM CITY 2","FREIGHT 
TO CITY 2","FREIGHT 
FROM CITY 2","MAIL 
TO CITY 2","MAIL 
FROM CITY 2"
1,ADAMPUR,DELHI,2072,2097,0,0.42567,0,0
2,AGARTALA,CHENNAI,878,1590,1.374,0.943,0,0.288
3,AGARTALA,VISAKHAPATNAM,110,0,0,0,0,0
4,"AGATTI ISLAND",KOCHI,2542,0,0,0,0,0
5,AGRA,DELHI,0,14,0,0,0,0
6,AGRA,JAIPUR,643,716,0,0,0,0
7,AGRA,KHAJURAHO,397,0,0,0,0,0
8,AGRA,VARANASI,0,907,0,0,0,0
9,AHMEDABAD,ALLAHABAD,1065,994,0,0,0,0
10,AHMEDABAD,BAGDOGRA,3379,2479,3.38109,12.90113,0,0
11,AHMEDABAD,BENGALURU,43413,40975,237.39174,240.8064,1.453,0.471
12,AHMEDABAD,BHOPAL,1467,1400,0.055,0,0,0
13,AHMEDABAD,BHUBANESWAR,415,0,10.32,0,0.012,0
14,AHMEDABAD,CHANDIGARH,5823,5610,5.617,27.045,0,0
15,AHMEDABAD,CHENNAI,29365,26207,206.03073,200.99146,0.319,0
16,AHMEDABAD,COIMBATORE,1024,963,0,0,0,0
17,AHMEDABAD,DABOLIM,16976,18447,5.12527,5.24098,0,0.553
18,AHMEDABAD,"DEHRA DUN",1990,2024,0.4,0.287,0,0
19,AHMEDABAD,DELHI,99702,89999,1142.18911,1186.28344,4.138,20.1459
20,AHMEDABAD,GUWAHATI,3293,3006,16.43421,0.672,0,0
21,AHMEDABAD,HUBLI,4657,4648,13.54,0,0,0
22,AHMEDABAD,HYDERABAD,31931,32377,162.26711,65.15664,1.167,0
23,AHMEDABAD,IMPHAL,0,120,0,0.09,0,0
24,AHMEDABAD,INDORE,3218,3266,0.9733,0.577,0.7093,0
25,AHMEDABAD,JABALPUR,1480,1437,10.51908,0.017,0,0
26,AHMEDABAD,JAIPUR,15104,12863,38.31721,9.3062,0,1.967
27,AHMEDABAD,JAISALMER,2389,2285,0.18,0,0,0
28,AHMEDABAD,JAMMU,3153,490,2.328,0,0,0
29,AHMEDABAD,JODHPUR,3521,3379,0,0,0,0
30,AHMEDABAD,KOCHI,9801,10014,25.8425,14.69402,2.094,1.105
31,AHMEDABAD,KOLKATA,21965,19168,204.9145,169.931,2.698,5.684
32,AHMEDABAD,LUCKNOW,9388,9846,21.6515,5.102,0.981,0.744
33,AHMEDABAD,MANGALORE,0,135,0,0,0,0
34,AHMEDABAD,MUMBAI,84061,80235,920.82846,762.52801,4.5392,25.603
35,AHMEDABAD,NAGPUR,439,273,7.584,1.185,0,0
36,AHMEDABAD,NASIK,2503,447,0,0,0,0
37,AHMEDABAD,PATNA,4526,4396,43.69955,0.67272,0,0
38,AHMEDABAD,PORBANDAR,728,722,0,0,0,0
39,AHMEDABAD,PUNE,22185,22432,47.96389,36.73793,0.761,0.889
40,AHMEDABAD,SHIRDI,756,767,0,0,0,0
41,AHMEDABAD,SRINAGAR,0,2194,0,0.268,0,0
42,AHMEDABAD,TRIVANDRUM,0,646,0,0,0,0
43,AHMEDABAD,UDAIPUR,570,0,0,0,0,0
44,AHMEDABAD,VARANASI,6693,6560,17.79282,0.5052,0,0
45,AHMEDABAD,VISAKHAPATNAM,806,693,1.759,7.403,0,0
46,AIZAWL,BENGALURU,123,99,0.021,0.254,0,0.0242
47,AIZAWL,DELHI,126,163,0,0.193,0,0.0488
48,AIZAWL,GUWAHATI,1210,1113,1.906,3.025,2.2101,0.7986
49,AIZAWL,IMPHAL,162,188,0,0,0.806,2.238
50,AIZAWL,KOLKATA,3464,3420,4.6951,26.5004,16.533,7.7508
51,ALLAHABAD,LEH,0,4,0,0,0,0
52,ALLAHABAD,LUCKNOW,703,718,0,0.034,0,0
53,ALLAHABAD,NAGPUR,748,785,0,0.107,0,0
54,ALLAHABAD,PATNA,615,595,0,0.009,0,0
55,AMRITSAR,BAGDOGRA,0,368,0,0,0,0.008
56,AMRITSAR,BENGALURU,4809,4570,0.862,5.689,0,0.018
57,AMRITSAR,COIMBATORE,0,34,0,0.032,0,0
58,AMRITSAR,DABOLIM,3361,3578,3.10363,1.36146,0,0
59,AMRITSAR,"DEHRA DUN",633,973,5.6435,0,0,0
60,AMRITSAR,DELHI,41368,43252,20.1332,43.4775,0.452,5.5108
61,AMRITSAR,GUWAHATI,3391,4341,7.67,0.255,0.149,0
62,AMRITSAR,HYDERABAD,4217,4497,0.193,8.408,0,0
63,AMRITSAR,JAIPUR,337,0,0,0,0,0
64,AMRITSAR,MUMBAI,13813,12494,3.3669,15.553,1.0646,0.9484
65,AMRITSAR,NANDED,1151,1018,0,0.1,0,0
66,AMRITSAR,PUNE,84,0,0,0,0,0
67,AMRITSAR,SRINAGAR,2698,3184,1.018,1.636,0.129,0.051
68,BAGDOGRA,CHENNAI,4417,4224,1.686,0.716,0.471,0
69,BAGDOGRA,KANPUR,0,270,0,0,0,0
70,BAGDOGRA,MANGALORE,24,0,0.001,0,0,0
71,BENGALURU,AGARTALA,3882,4100,1.437,0.075,0.437,0
72,BENGALURU,ALLAHABAD,4019,3907,0.119,0,0,0
73,BENGALURU,BAGDOGRA,14293,12715,18.92494,15.04516,1.96,0
74,BENGALURU,BELGAUM,1915,2042,0,0,0,0
75,BENGALURU,CHANDIGARH,9115,7544,58.063,49.851,1.296,1.826
76,BENGALURU,CHENNAI,59997,58912,600.96711,505.04952,6.774,8.0379
77,BENGALURU,COIMBATORE,11483,12996,9.47266,5.99056,0,0
78,BENGALURU,DABOLIM,41071,41721,25.913,23.016,0,0.331
79,BENGALURU,"DEHRA DUN",4406,4291,0.883,4.166,0.908,0
80,BENGALURU,DELHI,170288,169468,2131.28995,2181.15595,20.487,28.979
81,BENGALURU,GORAKHPUR,4648,3983,0.233,0,0,0
82,BENGALURU,GUWAHATI,18557,15662,68.577,7.724,7.1313,2.531
83,BENGALURU,HUBLI,7753,8260,2.03349,0.29876,0,0
84,BENGALURU,HYDERABAD,88291,87921,241.98636,124.68803,12.848,1.924
85,BENGALURU,IMPHAL,1103,1486,3.767,20.207,0,0
86,BENGALURU,INDORE,21445,22334,42.715,20.174,0.2651,1.452
87,BENGALURU,JAIPUR,25398,24144,82.264,122.048,7.859,2.413
88,BENGALURU,JODHPUR,248,204,0.1,0,0.4184,0
89,BENGALURU,KANNUR,7520,8054,0.383,0,0,0
90,BENGALURU,KANPUR,91,141,0,0,0,0
91,BENGALURU,KOCHI,47626,44291,106.52061,40.74048,2.425,5.175
92,BENGALURU,KOLHAPUR,719,684,0,0,0,0
93,BENGALURU,KOLKATA,78433,78630,378.28819,492.93791,16.427,5.038
94,BENGALURU,KOZHIKODE,2716,2783,2.80656,0.029,0,0
95,BENGALURU,LUCKNOW,28474,26973,87.2005,28.872,25.898,1.299
96,BENGALURU,MADURAI,3802,3594,1.4858,4.119,1.984,0
97,BENGALURU,MANGALORE,17321,17590,16.66351,2.03753,0,176.7912
98,BENGALURU,MUMBAI,137465,139758,1149.32568,1294.76397,12.9412,39.0601
99,BENGALURU,NAGPUR,17533,16225,43.773,4.926,8.037,0.487
100,BENGALURU,PATNA,20563,17124,106.56083,9.29604,21.808,1.691
101,BENGALURU,PONDICHERRY,952,867,0.031,0,0,0
102,BENGALURU,"PORT BLAIR",10644,10073,18.07583,1.088,0,0
103,BENGALURU,PUNE,72142,73891,282.50549,175.55449,9.07,0.1022
104,BENGALURU,RAIPUR,7832,7928,16.854,0.6,3.642,0.822
105,BENGALURU,RAJAHMUNDRY,1346,1334,0.012,0,0,0
106,BENGALURU,RANCHI,17998,18077,40.973,18.58629,10.742,3.425
107,BENGALURU,SHIRDI,925,903,0.004,0,0,0
108,BENGALURU,SRINAGAR,3429,2239,7.83,0.001,0.008,0.425
109,BENGALURU,SURAT,4376,4847,19.142,1.155,0,0
110,BENGALURU,TIRUCHIRAPALLY,1351,1347,0.191,0,0.02,0
111,BENGALURU,TIRUPATI,2875,2919,0.046,0,0,0
112,BENGALURU,TRIVANDRUM,17000,17913,9.881,14.70549,4.429,1.092
113,BENGALURU,UDAIPUR,6535,6481,3.543,0.7104,0,0
114,BENGALURU,VARANASI,10968,10545,7.05533,11.678,6.928,0
115,BENGALURU,VIDYANAGAR,1416,1467,0,0,0,0
116,BENGALURU,VIJAYAWADA,11576,8901,41.67795,4.38379,4.111,0
117,BENGALURU,VISAKHAPATNAM,22399,22208,21.185,15.368,6.888,0.46
118,BHATINDA,DELHI,579,638,0,0,0,0
119,BHATINDA,JAMMU,176,233,0,0,0,0
120,BHAVNAGAR,MUMBAI,1524,1434,0,0,0,0
121,BHOPAL,BENGALURU,64,97,0,0,0,0
122,BHOPAL,CHANDIGARH,0,28,0,0,0,0
123,BHOPAL,DELHI,12063,11825,1.2282,50.1685,7.167,12.4088
124,BHOPAL,HYDERABAD,5913,4622,0.059,0.97976,0,0
125,BHOPAL,INDORE,103,0,0,0,0,0
126,BHOPAL,JAIPUR,1992,4363,0,0,0,0
127,BHOPAL,KOCHI,0,49,0,0,0,0
128,BHOPAL,MUMBAI,14770,15056,15.2408,46.0604,5.133,29.1713
129,BHOPAL,RAIPUR,0,2530,0,0,0,0
130,BHOPAL,SHIRDI,681,696,0,0.004,0,0
131,BHUBANESWAR,BENGALURU,26181,26993,16.243,73.315,2.018,21.418
132,BHUBANESWAR,CHENNAI,8313,8900,9.234,18.35,2.988,17.445
133,BHUBANESWAR,COIMBATORE,259,94,0.011,1.489,0,0.124
134,BHUBANESWAR,DELHI,45892,45414,64.9463,291.1576,1.287,35.502
135,BHUBANESWAR,GUWAHATI,3926,3061,39.3781,1.449,5.046,0
136,BHUBANESWAR,HYDERABAD,22181,19918,15.742,43.777,0.944,2.567
137,BHUBANESWAR,KOCHI,2773,3301,0.01,0.402,0,0
138,BHUBANESWAR,KOLKATA,30684,31945,132.6402,111.75001,2.425,18.014
139,BHUBANESWAR,MUMBAI,16382,16538,52.839,127.71949,3.84,17.488
140,BHUBANESWAR,RAIPUR,51,0,0,0,0,0
141,BHUBANESWAR,SURAT,166,0,10.48,0,0,0
142,BHUBANESWAR,VARANASI,431,410,0,0,0,0
143,BHUBANESWAR,VISAKHAPATNAM,1490,1627,0,0.858,0,0
144,BHUJ,MUMBAI,6719,7005,0.103,2.261,0,0
145,BIKANER,DELHI,1507,1504,0,0,0,0
146,BIKANER,JAIPUR,1039,1141,0,0,0,0
147,CHANDIGARH,CHENNAI,618,723,16.895,6.69,0,0
148,CHANDIGARH,JAIPUR,428,449,0.02,0,0.183,0
149,CHANDIGARH,KULLU,168,68,0,0,0,0
150,CHANDIGARH,LEH,907,657,14.411,1.929,0,0
151,CHANDIGARH,LUCKNOW,1786,1797,0,0.01,0.031,0
152,CHANDIGARH,NANDED,1103,1123,0,0,0,0
153,CHANDIGARH,PUNE,3505,3556,3.653,2.2412,0,0.031
154,CHANDIGARH,SRINAGAR,6416,6037,13.7305,0.003,0.25,0
155,CHANDIGARH,TRIVANDRUM,3,0,0.034,0,0,0
156,CHENNAI,MYSORE,1534,1654,0,0,0,0
157,CHENNAI,NAGPUR,3781,4052,4.432,0.651,0.155,0
158,CHENNAI,PATNA,2077,1936,3.25626,0.023,0,0
159,CHENNAI,PUNE,37216,37634,254.77527,304.39481,8.587,0
160,CHENNAI,RAIPUR,0,326,0,0.107,0,0
161,CHENNAI,RAJAHMUNDRY,1740,1760,0.205,0,0,0
162,CHENNAI,SALEM,1522,1503,0,0,0,0
163,CHENNAI,SHIRDI,5229,5233,0,0,0,0
164,CHENNAI,SRINAGAR,600,0,0,0,0,0
165,CHENNAI,SURAT,3692,2893,41.556,0,0,0
166,CHENNAI,TIRUCHIRAPALLY,9489,9093,0.722,0.036,0.277,0
167,CHENNAI,TRIVANDRUM,13948,14374,14.028,11.78,10.711,4.698
168,CHENNAI,TUTICORIN,8180,8341,3.21895,1.919,0,0
169,CHENNAI,UDAIPUR,4213,5095,0.74,3.769,0,0.531
170,CHENNAI,VARANASI,5900,5255,1.77564,2.61771,0.657,0
171,CHENNAI,VIJAYAWADA,5883,6115,8.0488,0.18714,1.472,0
172,CHENNAI,VISAKHAPATNAM,11073,11295,23.23,38.451,0.81,1.309
173,COIMBATORE,AGARTALA,12,15,0.016,0.019,0,0
174,COIMBATORE,CHENNAI,38990,41654,67.23144,73.55434,1.403,1.466
175,COIMBATORE,DABOLIM,0,279,0,0.073,0,0
176,COIMBATORE,DELHI,22288,21076,123.01702,155.29364,2.436,1.427
177,COIMBATORE,HYDERABAD,16340,16695,50.85591,18.73504,0,0
178,COIMBATORE,KOCHI,16,554,0,0,0,0
179,COIMBATORE,PUNE,1851,1705,3.7825,6.2527,0,0
180,COIMBATORE,SURAT,509,0,0.251,0,0,0
181,COIMBATORE,VISAKHAPATNAM,444,514,0.403,0.007,0,0
182,DABOLIM,CHENNAI,11976,12431,17.44056,24.2787,0,0
183,DABOLIM,HUBLI,1550,1659,0.015,0,0,0
184,DABOLIM,HYDERABAD,34971,36324,22.1026,11.0959,0.29,0
185,DABOLIM,IMPHAL,0,3,0,1.069,0,0
186,DABOLIM,INDORE,6506,6625,0.291,3.208,0,0
187,DABOLIM,JAIPUR,1060,1043,0.053,0.044,0,0
188,DABOLIM,LUCKNOW,4942,4515,1.989,0.285,0,0
189,DABOLIM,PATNA,700,444,0.553,0,0,0
190,DABOLIM,PUNE,11252,8476,0.86332,3.60102,0,0
191,DABOLIM,RAIPUR,754,642,0.003,0.009,0,0
192,DABOLIM,SURAT,6624,7390,2.101,9.05285,0,0
193,DABOLIM,VARANASI,58,536,0.107,0,0,0
194,"DEHRA DUN",CHANDIGARH,6,0,0,0,0,0
195,"DEHRA DUN",DABOLIM,233,0,0,0,0,0
196,"DEHRA DUN",DELHI,23875,27392,5.8325,29.53449,0.2211,6.0119
197,"DEHRA DUN",GORAKHPUR,0,55,0,0,0,0
198,"DEHRA DUN",GUWAHATI,1455,1204,0,0.127,0,0
199,"DEHRA DUN",HYDERABAD,3233,3413,7.157,0.255,0,0
200,"DEHRA DUN",JAIPUR,1462,1486,0.01,0,0,0
201,"DEHRA DUN",JAMMU,794,1117,0,0,0,0
202,"DEHRA DUN",LUCKNOW,3821,4612,0,0.119,0,0
203,"DEHRA DUN",PANTNAGAR,249,305,0,0,0,0
