S.No.,CITY 1,CITY 2,"PASSENGERS 
TO CITY 2","PASSENGERS 
FROM CITY 2","FREIGHT 
TO CITY 2","FREIGHT 
FROM CITY 2","MAIL 
TO CITY 2","MAIL 
FROM CITY 2"
1,ADAMPUR,DELHI,59,45,0,0,0,0
2,AGARTALA,GUWAHATI,0,0,0,3.32687,0,0
3,AGARTALA,KOLKATA,486,494,0.073,7.158,0.57,0.885
4,AHMEDABAD,AJMER,34,16,0,0,0,0
5,AHMEDABAD,BELGAUM,20,9,0,0,0,0
6,AHMEDABAD,BENGALURU,835,1089,21.1188,8.6165,0,2
7,AHMEDABAD,CHENNAI,0,0,0.926,0,0,0
8,AHMEDABAD,DELHI,2893,3299,217.13643,174.80232,0,3.709
9,AHMEDABAD,HYDERABAD,834,448,2.592,1.136,0,0.111
10,AHMEDABAD,JAISALMER,54,63,0,0,0,0
11,AHMEDABAD,KANDLA,75,60,0,0,0,0
12,AHMEDABAD,KOLKATA,0,0,20.5288,1.188,0,0
13,AHMEDABAD,LUCKNOW,766,294,5.629,0.168,0,0
14,AHMEDABAD,MUMBAI,124,919,133.12006,109.94596,0,0
15,AHMEDABAD,NASIK,34,30,0,0,0,0
16,AHMEDABAD,PORBANDAR,42,44,0,0,0,0
17,AHMEDABAD,PUNE,326,544,0.746,0.378,0,0
18,AHMEDABAD,RAIPUR,133,0,0,0,0,0
19,AHMEDABAD,SURAT,0,0,0,2.287,0,0
20,AHMEDABAD,UDAIPUR,74,36,0,0,0,0
21,AHMEDABAD,VARANASI,707,378,2.26456,0,0,0
22,AJMER,DELHI,50,96,0,0,0,0
23,ALLAHABAD,BENGALURU,262,751,0,0.06,0,0.233
24,ALLAHABAD,DELHI,96,234,0,0,0,0
25,ALLAHABAD,MUMBAI,297,661,0,0,0,0
26,AMRITSAR,DELHI,865,2701,0.258,1.321,0,0.154
27,AMRITSAR,JAIPUR,51,125,0,0,0,0
28,AMRITSAR,LUCKNOW,0,93,0,0,0,0
29,AMRITSAR,PATNA,234,136,0.021,0,0,0
30,AMRITSAR,SRINAGAR,0,68,0,0,0,0
31,BAGDOGRA,BENGALURU,258,1007,1.95877,0.383,0,0
32,BAGDOGRA,CHENNAI,107,738,0.8388,0.1874,0,0
33,BAGDOGRA,DELHI,1195,2311,19.53474,13.798,0.476,0.522
34,BAGDOGRA,DIBRUGARH,0,172,0,0,0,0
35,BAGDOGRA,GUWAHATI,111,0,0,0.75104,0,0
36,BAGDOGRA,KOLKATA,96,100,1.93562,1.15392,0,0
37,BAGDOGRA,PATNA,0,0,7.84674,0,0,0
38,BELGAUM,BENGALURU,18,7,0,0,0,0
39,BELGAUM,HYDERABAD,148,204,0,0,0,0
40,BELGAUM,MYSORE,26,15,0,0,0,0
41,BENGALURU,BHUBANESWAR,1986,640,5.143,0.061,2.235,0.57
42,BENGALURU,CHANDIGARH,1358,478,3.62,26.886,1.268,0.166
43,BENGALURU,CHENNAI,1162,1459,388.28273,523.07467,1.572,2.317
44,BENGALURU,COIMBATORE,785,408,1.0942,7.93103,0.001,0
45,BENGALURU,DABOLIM,313,406,0.177,2.248,0,0
46,BENGALURU,DELHI,7764,4254,781.27224,788.23462,5.887,2.487
47,BENGALURU,GORAKHPUR,208,0,0,0,0,0
48,BENGALURU,GUWAHATI,1667,457,1.888,0.474,2.282,0.949
49,BENGALURU,GWALIOR,424,80,0,0,0,0
50,BENGALURU,HUBLI,5,14,0,0,0,0
51,BENGALURU,HYDERABAD,2572,1842,11.47072,11.79658,4.992,0.836
52,BENGALURU,INDORE,329,56,2.407,1.427,0,0
53,BENGALURU,JAIPUR,1886,648,4.014,4.286,2.56,0
54,BENGALURU,KANNUR,198,149,0.089,0,0,0
55,BENGALURU,KOCHI,1454,1209,9.59876,7.60114,3.308,0.905
56,BENGALURU,KOLKATA,1255,670,47.13765,164.3989,5.498,0
57,BENGALURU,KOZHIKODE,205,169,0.01,0.015,0,0
58,BENGALURU,LUCKNOW,2109,776,5.38,2.006,2.81,0.105
59,BENGALURU,MADURAI,364,400,0.087,2.26746,0.001,0
60,BENGALURU,MANGALORE,448,332,0.34156,0.0298,0.003,28.566
61,BENGALURU,MUMBAI,1069,2176,496.96689,512.14,0.334,0
62,BENGALURU,MYSORE,89,27,0,0,0,0
63,BENGALURU,NAGPUR,524,182,0.355,0.625,0.085,0
64,BENGALURU,PATNA,2263,1108,8.8,12.44105,4.501,0.741
65,BENGALURU,PUNE,1461,1311,7.1504,5.89883,1.46,0
66,BENGALURU,RAIPUR,807,335,2.287,0.035,0.82,0.214
67,BENGALURU,RANCHI,521,333,0.333,0.791,0.047,0
68,BENGALURU,TIRUCHIRAPALLY,491,286,0.083,0,0.075,0
69,BENGALURU,TIRUPATI,177,123,0.125,0,0,0
70,BENGALURU,TRIVANDRUM,933,414,0.204,0.07,1.28,0
71,BENGALURU,VADODARA,258,91,4.599,0.415,0.531,0.015
72,BENGALURU,VARANASI,577,272,0.154,0.856,0.695,0
73,BENGALURU,VIDYANAGAR,76,42,0,0,0,0
74,BENGALURU,VIJAYAWADA,1251,1177,1.67073,0.8812,0.414,0
75,BENGALURU,VISAKHAPATNAM,1742,1140,1.46801,3.15,0.468,0.005
76,BENGALURU,"KALABURAGI, KARNATAKA",201,189,0,0,0,0
77,BHOPAL,DELHI,740,1000,1.0978,2.906,0.247,0.021
78,BHOPAL,HYDERABAD,16,60,0,0,0,0
79,BHOPAL,MUMBAI,41,180,0,0.006,0.036,0
80,BHOPAL,RAIPUR,1,0,0,0,0,0
81,BHUBANESWAR,CHENNAI,137,516,0.031,0.715,0.419,0.027
82,BHUBANESWAR,DELHI,1300,2552,2.0498,35.20286,1.503,0.623
83,BHUBANESWAR,HYDERABAD,284,551,0.045,1.673,0.079,0.131
84,BHUBANESWAR,KOLKATA,32,0,5.36986,3.9034,0,0
85,BHUBANESWAR,MUMBAI,205,791,2.598,2.258,0.687,0
86,BHUBANESWAR,PATNA,0,0,8.22051,0,0,0
87,BHUBANESWAR,SURAT,0,0,7.842,0,0,0
88,BHUJ,MUMBAI,30,29,0,0,0,0
89,BIKANER,DELHI,226,228,0,0,0,0
90,CHANDIGARH,DELHI,1360,1649,4.478,2.217,0.416,0
91,CHANDIGARH,DHARAMSALA,34,35,0,0,0,0
92,CHANDIGARH,MUMBAI,118,513,7.587,1.55,0,0.116
93,CHENNAI,COIMBATORE,1319,583,7.44582,0.17035,2.687,0
94,CHENNAI,DELHI,3923,1837,86.13356,223.93255,3.548,2.357
95,CHENNAI,GUWAHATI,1143,270,4.372,0.189,0.656,0.183
96,CHENNAI,HYDERABAD,1078,748,94.81226,49.44294,2.271,1.435
97,CHENNAI,IMPHAL,0,63,0,0,0,0
98,CHENNAI,KADAPA,83,0,0,0,0,0
99,CHENNAI,KOCHI,459,174,20.66507,4.1928,3.136,0.594
100,CHENNAI,KOLKATA,624,336,322.26656,187.01903,0.228,0
101,CHENNAI,KOZHIKODE,0,0,1.41856,0,0,0
102,CHENNAI,MADURAI,873,598,3.93684,3.63976,1.075,0
103,CHENNAI,MANGALORE,67,25,0.025,0,0,1.734
104,CHENNAI,MUMBAI,0,470,7.14042,27.56011,0,0
105,CHENNAI,PORT BLAIR,878,900,4.716,4.162,0.763,0
106,CHENNAI,RAJAHMUNDRY,208,136,0.061,0,0,0
107,CHENNAI,SALEM,185,152,0,0,0,0
108,CHENNAI,SURAT,0,0,102.35234,0.4756,0,0
109,CHENNAI,TIRUCHIRAPALLY,68,98,0.061,10.809,0.566,0
110,CHENNAI,TRIVANDRUM,470,179,5.39035,0.03,0.994,0
111,CHENNAI,TUTICORIN,178,174,0.04,0,0,0
112,CHENNAI,VARANASI,174,45,0.06,0,0,0
113,CHENNAI,VIJAYAWADA,123,66,18.35175,12.44599,0.321,0
114,CHENNAI,VISAKHAPATNAM,322,211,181.47293,0.026,0.389,0.015
115,COIMBATORE,DELHI,716,459,3.406,16.87903,0,0.322
