S No.,CITY 1,CITY2,PASSENGER TO CITY 2,PASSENGER FROM CITY 2
1,AGATTI ISLAND,KOCHI,484,430
2,AGRA,DELHI,0,12
3,AGRA,VARANASI,0,76
4,AHMEDABAD,BENGALURU,12375,11730
5,AHMEDABAD,BHOPAL,859,568
6,AHMEDABAD,CHENNAI,12809,13063
7,AHMEDABAD,DELHI,47109,46632
8,AHMEDABAD,DIBRUGARH,293,292
9,AHMEDABAD,GOA,4395,4412
10,AHMEDABAD,GUWAHATI,955,1005
11,AHMEDABAD,HYDERABAD,11123,10966
12,AHMEDABAD,IMPHAL,0,77
13,AHMEDABAD,INDORE,549,768
14,AHMEDABAD,JAIPUR,3109,2880
15,AHMEDABAD,KOCHI,1106,1121
16,AHMEDABAD,KOLKATA,9813,10233
17,AHMEDABAD,LUCKNOW,1330,1173
18,AHMEDABAD,MUMBAI,84453,79857
19,AHMEDABAD,NAGPUR,921,909
20,AHMEDABAD,PUNE,10471,11033
21,AIZAWL,GUWAHATI,1888,1666
22,AIZAWL,IMPHAL,353,393
23,AIZAWL,KOLKATA,4359,3829
24,AMRITSAR,BENGALURU,113,126
25,AMRITSAR,CHENNAI,146,157
26,AMRITSAR,DELHI,26095,27286
27,AMRITSAR,MUMBAI,4918,4848
28,AMRITSAR,SRINAGAR,3615,4742
29,BAGDOGRA,CHENNAI,2084,1871
30,BELGAUM,CHENNAI,497,399
31,BENGALURU,AGARTALA,1385,1460
32,BENGALURU,BAGDOGRA,2417,2708
33,BENGALURU,BELGAUM,3870,3817
34,BENGALURU,CHANDIGARH,9638,9045
35,BENGALURU,CHENNAI,33361,33299
36,BENGALURU,COIMBATORE,6001,6528
37,BENGALURU,CUDDAPAH,204,233
38,BENGALURU,DEHRA DUN,271,351
39,BENGALURU,DELHI,139728,138294
40,BENGALURU,GOA,25243,25034
41,BENGALURU,GUWAHATI,3563,4103
42,BENGALURU,HUBLI,1440,1572
43,BENGALURU,HYDERABAD,43192,43872
44,BENGALURU,IMPHAL,268,433
45,BENGALURU,INDORE,1541,2486
46,BENGALURU,JABALPUR,442,490
47,BENGALURU,JAIPUR,20609,19647
48,BENGALURU,JODHPUR,568,409
49,BENGALURU,JORHAT,111,119
50,BENGALURU,KOCHI,33845,34109
51,BENGALURU,KOLKATA,36160,37140
52,BENGALURU,KOZHIKODE,1943,1895
53,BENGALURU,LUCKNOW,5186,5424
54,BENGALURU,MADURAI,883,945
55,BENGALURU,MANGALORE,12701,13594
56,BENGALURU,MUMBAI,139388,131046
57,BENGALURU,NAGPUR,3588,3382
58,BENGALURU,PATNA,1930,2666
59,BENGALURU,PUDUCHERRY,457,493
60,BENGALURU,PUNE,49822,50820
61,BENGALURU,RAIPUR,1698,1949
62,BENGALURU,RAJAHMUNDRY,339,236
63,BENGALURU,RAJKOT,172,140
64,BENGALURU,RANCHI,2174,2505
65,BENGALURU,SRINAGAR,1051,1265
66,BENGALURU,TRIVANDRUM,17156,17639
67,BENGALURU,VARANASI,1445,1444
68,BENGALURU,VIJAYAWADA,3786,3748
69,BENGALURU,VISAKHAPATNAM,16479,17062
70,BHAVNAGAR,MUMBAI,1631,1686
71,BHOPAL,CHANDIGARH,0,143
72,BHOPAL,DELHI,14472,13259
73,BHOPAL,HYDERABAD,567,584
74,BHOPAL,INDORE,97,0
75,BHOPAL,LUCKNOW,65,0
76,BHOPAL,MUMBAI,12302,10677
77,BHOPAL,RAIPUR,0,925
