S.No.,CITY1,CITY2,"PASSENEGER TO CITY 2","PASSENGER FROM CITY 2"
1,AGARTALA,CHENNAI,304,303
2,"AGATTI ISLAND",KOCHI,607,688
3,AGRA,DELHI,0,12790
4,AGRA,KHAJURAHO,2168,0
5,AGRA,VARANASI,0,41520
6,AHMEDABAD,BENGALURU,13819,13994
7,AHMEDABAD,BHOPAL,696,400
8,AHMEDABAD,CHENNAI,16672,15771
9,AHMEDABAD,COIMBATORE,199,325
10,AHMEDABAD,DELHI,42997,39980
11,AHMEDABAD,DIBRUGARH,297,288
12,AHMEDABAD,GOA,4785,4835
13,AHMEDABAD,GUWAHATI,1016,1151
14,AHMEDABAD,HYDERABAD,10818,10643
15,AHMEDABAD,IMPHAL,0,48
16,AHMEDABAD,INDORE,807,947
17,AHMEDABAD,JAIPUR,3036,3147
18,AHMEDABAD,KOCHI,1470,1730
19,AHMEDABAD,KOLKATA,11531,11192
20,AHMEDABAD,LUCKNOW,1135,1147
21,AHMEDABAD,MUMBAI,72612,75662
22,AHMEDABAD,NAGPUR,1141,1004
23,AHMEDABAD,PUNE,15218,14912
24,AHMEDABAD,RAIPUR,89,112
25,AIZAWL,GUWAHATI,1610,1479
26,AIZAWL,IMPHAL,8880,441
27,AIZAWL,KOLKATA,5962,2433
28,AMRITSAR,BENGALURU,199,343
29,AMRITSAR,CHENNAI,151,331
30,AMRITSAR,DELHI,19197,21243
31,AMRITSAR,MUMBAI,4901,5831
32,AMRITSAR,SRINAGAR,3513,5297
33,AURANGABAD,TIRUPATI,0,71
34,BAGDOGRA,CHENNAI,1512,1584
35,BELGAUM,CHENNAI,561,404
36,BENGALURU,AGARTALA,1065,979
37,BENGALURU,BAGDOGRA,3059,2343
38,BENGALURU,BELGAUM,3670,3470
39,BENGALURU,CHANDIGARH,10343,9223
40,BENGALURU,CHENNAI,33744,33604
41,BENGALURU,COCHIN,8084,8263
42,BENGALURU,COIMBATORE,5892,5494
43,BENGALURU,"DEHRA DUN",410,503
44,BENGALURU,DELHI,129563,119288
45,BENGALURU,GOA,46145,27663
46,BENGALURU,GUWAHATI,4455,4007
47,BENGALURU,HUBLI,1407,1673
48,BENGALURU,HYDERABAD,44428,49309
49,BENGALURU,IMPHAL,378,214
50,BENGALURU,INDORE,1500,2415
51,BENGALURU,JABALPUR,237,426
52,BENGALURU,JAIPUR,23815,21866
53,BENGALURU,JODHPUR,770,728
54,BENGALURU,JORHAT,103,107
55,BENGALURU,KOCHI,22107,21537
56,BENGALURU,KOLKATA,49052,40845
57,BENGALURU,KOZHIKODE,1841,1728
58,BENGALURU,LUCKNOW,5871,5282
