"Sl .No.","CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,723,1215
2,AGARTALA,VISAKHAPATNAM,63,0
3,"AGATTI ISLAND",KOCHI,777,828
4,AGRA,DELHI,0,28
5,AGRA,KHAJURAHO,313,0
6,AGRA,VARANASI,0,1020
7,AHMEDABAD,BENGALURU,26929,26001
8,AHMEDABAD,CHENNAI,14665,18906
9,AHMEDABAD,COIMBATORE,962,0
10,AHMEDABAD,DELHI,78241,88730
11,AHMEDABAD,GOA,10385,10833
12,AHMEDABAD,GUWAHATI,505,524
13,AHMEDABAD,HYDERABAD,19201,21337
14,AHMEDABAD,JAIPUR,4155,3852
15,AHMEDABAD,KOCHI,1559,2168
16,AHMEDABAD,KOLKATA,13456,14512
17,AHMEDABAD,LUCKNOW,3592,3337
18,AHMEDABAD,MUMBAI,83805,87309
19,AHMEDABAD,PUNE,17530,18187
20,AHMEDABAD,VISAKHAPATNAM,594,707
21,AIZAWL,AHMEDABAD,32,30
22,AIZAWL,DELHI,526,669
23,AIZAWL,GUWAHATI,4139,3899
24,AIZAWL,IMPHAL,272,0
25,AIZAWL,KOLKATA,6020,5991
26,AMRITSAR,BENGALURU,170,134
27,AMRITSAR,CHENNAI,232,405
28,AMRITSAR,DELHI,36834,36488
29,AMRITSAR,MUMBAI,6423,6145
30,AMRITSAR,SRINAGAR,1313,1617
31,BAGDOGRA,CHENNAI,1065,2296
32,BELGAUM,JABALPUR,7,11
33,BENGALURU,AGARTALA,410,711
34,BENGALURU,BAGDOGRA,1251,1053
35,BENGALURU,BELGAUM,2170,1991
36,BENGALURU,CHANDIGARH,13638,15616
37,BENGALURU,CHENNAI,43703,47751
38,BENGALURU,COIMBATORE,6394,6839
39,BENGALURU,"DEHRA DUN",515,439
40,BENGALURU,DELHI,161657,176316
41,BENGALURU,GOA,40372,41721
42,BENGALURU,GUWAHATI,14819,15189
43,BENGALURU,HUBLI,716,757
44,BENGALURU,HYDERABAD,77078,78405
45,BENGALURU,IMPHAL,800,855
46,BENGALURU,INDORE,2136,3266
47,BENGALURU,JAIPUR,24315,24390
48,BENGALURU,JODHPUR,142,283
49,BENGALURU,JORHAT,123,133
50,BENGALURU,KOCHI,34850,38355
51,BENGALURU,KOLKATA,58779,64978
52,BENGALURU,KOZHIKODE,1741,1798
53,BENGALURU,LUCKNOW,13494,14888
54,BENGALURU,MADURAI,1103,1395
55,BENGALURU,MANGALORE,13622,12893
56,BENGALURU,MUMBAI,139660,135176
57,BENGALURU,NAGPUR,7246,8662
58,BENGALURU,PATNA,12363,7842
59,BENGALURU,"PORT BLAIR",2232,2974
60,BENGALURU,PUNE,59394,59185
61,BENGALURU,RAIPUR,2638,2327
62,BENGALURU,RAJAHMUNDRY,1115,804
63,BENGALURU,RAJKOT,183,158
64,BENGALURU,RANCHI,3137,8757
65,BENGALURU,SRINAGAR,332,297
66,BENGALURU,TRIVANDRUM,18666,23600
67,BENGALURU,VARANASI,6973,8489
68,BENGALURU,VIJAYAWADA,7983,8246
69,BENGALURU,VISAKHAPATNAM,22261,23728
70,BHAVNAGAR,MUMBAI,959,938
71,BHOPAL,DELHI,10740,10738
72,BHOPAL,JABALPUR,734,398
73,BHOPAL,MUMBAI,13656,11008
74,BHOPAL,RAIPUR,762,1341
75,BHUBANESWAR,BENGALURU,15813,14451
76,BHUBANESWAR,CHENNAI,2647,2272
77,BHUBANESWAR,COIMBATORE,229,241
78,BHUBANESWAR,DELHI,35116,36581
79,BHUBANESWAR,HYDERABAD,9071,9503
80,BHUBANESWAR,KOLKATA,17052,15518
81,BHUBANESWAR,MUMBAI,17039,16545
82,BHUBANESWAR,VARANASI,1030,1112
83,BHUBANESWAR,VISAKHAPATNAM,951,940
84,BHUJ,DELHI,364,440
85,BHUJ,MUMBAI,7492,7279
86,CHANDIGARH,CHENNAI,555,711
87,CHANDIGARH,SRINAGAR,4173,4709
88,CHENNAI,PATNA,1,6
89,CHENNAI,PUNE,37615,37229
90,CHENNAI,RAIPUR,1370,1079
91,CHENNAI,RAJAHMUNDRY,1080,1476
92,CHENNAI,TIRUCHIRAPALLY,6220,7647
93,CHENNAI,TRIVANDRUM,12760,13231
94,CHENNAI,TUTICORIN,4297,4263
95,CHENNAI,VIJAYAWADA,4609,4724
