S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,1021,1289
2,AGARTALA,VISAKHAPATNAM,87,0
3,"AGATTI ISLAND",KOCHI,954,914
4,AGRA,DELHI,0,15
5,AGRA,KHAJURAHO,481,0
6,AGRA,VARANASI,0,1069
7,AHMEDABAD,BENGALURU,24138,28172
8,AHMEDABAD,CHENNAI,18944,18272
9,AHMEDABAD,COIMBATORE,944,0
10,AHMEDABAD,DELHI,76304,70386
11,AHMEDABAD,GOA,11974,12219
12,AHMEDABAD,GUWAHATI,967,734
13,AHMEDABAD,HYDERABAD,15631,18098
14,AHMEDABAD,JAIPUR,5624,5432
15,AHMEDABAD,JORHAT,7,11
16,AHMEDABAD,KOCHI,3719,3091
17,AHMEDABAD,KOLKATA,12966,12500
18,AHMEDABAD,LUCKNOW,4442,4040
19,AHMEDABAD,MUMBAI,85360,70811
20,AHMEDABAD,NAGPUR,460,610
21,AHMEDABAD,PUNE,16366,15451
22,AHMEDABAD,VISAKHAPATNAM,376,616
23,AIZAWL,AHMEDABAD,26,13
24,AIZAWL,BENGALURU,0,7
25,AIZAWL,DELHI,1065,680
26,AIZAWL,GUWAHATI,3701,3297
27,AIZAWL,IMPHAL,251,235
28,AIZAWL,KOLKATA,5127,5240
29,AMRITSAR,BENGALURU,113,117
30,AMRITSAR,CHENNAI,30,28
31,AMRITSAR,DELHI,36865,38110
32,AMRITSAR,JODHPUR,0,1
33,AMRITSAR,MUMBAI,5349,5575
34,BAGDOGRA,CHENNAI,1363,1788
35,BELGAUM,JABALPUR,24,15
36,BENGALURU,AGARTALA,645,651
37,BENGALURU,BAGDOGRA,2075,1661
38,BENGALURU,BELGAUM,2020,2055
39,BENGALURU,CHANDIGARH,12355,12293
40,BENGALURU,CHENNAI,37827,37804
41,BENGALURU,COIMBATORE,5178,5447
42,BENGALURU,"DEHRA DUN",362,484
43,BENGALURU,DELHI,158477,148867
44,BENGALURU,GOA,31364,33752
45,BENGALURU,GUWAHATI,15704,15100
46,BENGALURU,HUBLI,870,922
47,BENGALURU,HYDERABAD,64554,64761
48,BENGALURU,IMPHAL,759,984
49,BENGALURU,INDORE,4710,4596
50,BENGALURU,JAIPUR,20797,20301
51,BENGALURU,JODHPUR,193,241
52,BENGALURU,JORHAT,121,92
53,BENGALURU,KOCHI,27465,27204
54,BENGALURU,KOLKATA,56784,56926
55,BENGALURU,KOZHIKODE,1672,1653
56,BENGALURU,LUCKNOW,9071,9356
57,BENGALURU,MADURAI,1512,1480
58,BENGALURU,MANGALORE,11187,10966
59,BENGALURU,MUMBAI,117086,124100
60,BENGALURU,NAGPUR,5672,5949
61,BENGALURU,PATNA,11722,8032
62,BENGALURU,PUNE,53540,53419
63,BENGALURU,RAIPUR,2193,2425
64,BENGALURU,RAJAHMUNDRY,662,514
65,BENGALURU,RAJKOT,254,133
66,BENGALURU,RANCHI,3603,7595
67,BENGALURU,SRINAGAR,1107,606
68,BENGALURU,TRIVANDRUM,18125,21054
69,BENGALURU,UDAIPUR,93,82
70,BENGALURU,VARANASI,6778,5417
71,BENGALURU,VIJAYAWADA,6030,6100
72,BENGALURU,VISAKHAPATNAM,18979,18872
73,BHATINDA,DELHI,391,402
74,BHAVNAGAR,MUMBAI,811,771
75,BHOPAL,DELHI,9992,9950
