S.No.,"CITY 1","CITY 2","PASSENGERS 
TO CITY 2","PASSENGERS 
FROM CITY 2","FREIGHT 
TO CITY 2","FREIGHT 
FROM CITY 2","MAIL 
TO CITY 2","MAIL 
FROM CITY 2"
1,AGRA,DELHI,0,41,0,0,0,0
2,AGRA,KHAJURAHO,185,0,0,0,0,0
3,AGRA,JAIPUR,271,245,0,0,0,0
4,AGRA,VARANASI,0,396,0,0,0,0
5,"AGATTI ISLAND",BENGALURU,49,37,0,0,0,0
6,"AGATTI ISLAND",KOCHI,371,403,0,0,0,0
7,ADAMPUR,DELHI,2146,1981,0,0.4796,0,0
8,AIZAWL,KOLKATA,4114,3762,1.4572,16.152,4.1472,11.2404
9,AIZAWL,DELHI,1371,1778,1.447,3.2701,0.4452,14.9496
10,AIZAWL,GUWAHATI,3801,3110,2.576,21.0406,8.5589,1.1392
11,AIZAWL,IMPHAL,112,247,0.001,0,0.284,1.458
12,AHMEDABAD,BHUBANESWAR,369,0,12.9185,0,0.9051,0
13,AHMEDABAD,BHAVNAGAR,41,82,0,0,0,0
14,AHMEDABAD,BENGALURU,50232,48869,285.49944,211.76737,2.7851,1.3295
15,AHMEDABAD,MUMBAI,90022,86394,1134.64703,895.23287,8.1429,26.3597
16,AHMEDABAD,KOLKATA,18263,16678,255.2957,165.8718,1.862,7.548
17,AHMEDABAD,COIMBATORE,791,755,0.5313,0,0,0
18,AHMEDABAD,KOCHI,4588,4710,15.494,2.6821,2.8107,0.7146
19,AHMEDABAD,DELHI,105422,100199,1285.84939,1363.48051,4.6227,23.0442
20,AHMEDABAD,GOA,17611,19338,2.591,5.827,0,0.666
21,AHMEDABAD,HUBLI,2176,2370,2.369,0,0,0
22,AHMEDABAD,HYDERABAD,28392,29490,145.98664,79.40811,0.5122,0.2585
23,AHMEDABAD,INDORE,1482,1337,0.1211,0.943,0.6169,0
24,AHMEDABAD,IMPHAL,0,67,0,0,0,0
25,AHMEDABAD,CHANDIGARH,4107,3991,22.38,31.17,0,0
26,AHMEDABAD,JAIPUR,15115,13282,30.04425,9.5252,0,2.0805
27,AHMEDABAD,JAISALMER,0,44,0,0,0,0
28,AHMEDABAD,LUCKNOW,2930,2263,17.4053,1.2165,2.565,1.077
29,AHMEDABAD,CHENNAI,24205,24565,199.12912,307.71238,0.5119,0.6588
30,AHMEDABAD,NAGPUR,282,272,11.552,0.195,0,0
31,AHMEDABAD,PUNE,23154,23719,29.14209,64.12361,1.2535,0.5976
32,AHMEDABAD,TRIVANDRUM,0,306,0,0.247,0,0
33,AHMEDABAD,MUNDRA,138,119,0,0,0,0
34,AHMEDABAD,VARANASI,4624,3919,31.57404,1.378,0,0
35,AHMEDABAD,VISAKHAPATNAM,498,570,2.9597,33.95,0,0
