Cities,Latitude,Longitude
ADAMPUR,31.43,75.75
AGARTALA,23.887,91.24
AGATTI ISLAND,10.824,72.176
AGRA,27.156,77.961
AHMEDABAD,23.077,72.635
AIZAWL,23.83,92.62
AJMER,26.58,74.81
ALLAHABAD,25.44,81.734
AMRITSAR,31.71,74.797
AURANGABAD,19.863,75.398
BAGDOGRA,26.681,88.329
BENGALURU,12.95,77.668
BARAPANI,25.704,91.979
BELGAUM,15.859,74.618
BHOPAL,23.287,77.337
BHAVNAGAR,21.75,72.18
BHUBANESHWAR,20.244,85.818
BHUJ,23.288,69.67
"BIDAR AIRPORT, KARNATAKA",17.91,77.49
BIKANER,28.05,73.19
BIRSA MUNDA,23.314,85.322
KOZHIKODE,11.137,75.955
CARNICOBAR,9.153,92.82
CHANDIGARH,30.673,76.789
MUMBAI,19.089,72.868
COCHIN,9.947,76.273
COIMBATORE,11.03,77.043
KADAPA,14.51,78.773
CUDDAPAH,14.51,78.773
DEHRA DUN,30.19,78.18
DELHI,28.567,77.103
INDORE,22.722,75.801
DIBRUGARH,27.484,95.017
DIMAPUR,25.884,93.771
DIU,20.713,70.921
NAGPUR,21.092,79.047
GAYA,24.744,84.951
GOA,15.381,73.831
GORAKHPUR,26.74,83.45
GUWAHATI,26.106,91.586
GWALIOR,26.293,78.228
HUBLI,15.362,75.085
HYDERABAD,17.453,78.468
IMPHAL,24.76,93.897
JABALPUR,23.178,80.052
JAIPUR,26.824,75.812
JAMMU,32.689,74.837
JAMNAGAR,22.466,70.013
JODHPUR,26.251,73.049
JORHAT,26.732,94.176
DHARAMSALA,32.165,76.263
KAZI NAZRUL ISLAM AIRPORT,23.622,87.243
KHAJURAHO,24.817,79.919
KULLU,31.877,77.154
LEH,34.1425054,77.5535329
LENGPUI,23.841,92.62
LILABARI,27.295,94.098
LUCKNOW,26.761,80.889
MADURAI,9.835,78.093
MANGALORE,12.961,74.89
KOLKATA,22.655,88.447
PAKYONG,27.22,88.58
PANTNAGAR,29.033,79.474
PASIGHAT,28.06,95.33
PATHANKOT,32.22,75.63
PATNA,25.591,85.088
PITHORAGARH,29.59,80.23
PUDUCHERRY,11.969,79.81
PORT BLAIR,11.641,92.73
PUNE,18.582,73.92
RAIPUR,21.18,81.739
RAJAHMUNDRY,17.11,81.818
RAJKOT,22.309,70.78
RANCHI,23.31,85.32
SALEM,11.78,78.06
SHILLONG,25.7,91.97
SHIRDI,19.69,74.39
SILCHAR,24.913,92.979
SIMLA,31.08,77.06
SRINAGAR,33.987,74.774
SURAT,21.114,72.742
TAMBARAM,12.907,80.122
TEZPUR,26.709,92.785
THOISE,34.653,77.376
TIRUCHIRAPALLY,10.765,78.71
TIRUPATI,13.632,79.543
TRIVANDRUM,8.482,76.92
TUTICORIN,8.724,78.026
UDAIPUR,24.618,73.896
VADODARA,22.336,73.226
VARANASI,25.452,82.859
VIDYANAGAR,15.17,76.62
VIJAYAWADA,16.53,80.797
VISAKHAPATNAM,17.721,83.224
PORBANDAR,21.64,69.66
NASIK,20.11,73.89
BHATINDA,30.27,74.74
BHUBANESWAR,20.25,85.81
CHENNAI,12.99,80.17
DABOLIM,15.38,73.83
DURGAPUR,23.61,87.24
GANGTOK,27.13,88.35
GHAZIABAD,34.18,70.45
PONDICHERRY,11.969,79.81
JAGDALPUR,19.07,82.03
JAISALMER,26.87,70.85
JALGAON,20.96,75.61
JHARSUGUDA,21.91,84.04
Jharsuguda,21.91,84.04
"KALABURAGI, KARNATAKA",17.31,76.95
KANDLA,23.1,70.1
KANNUR,11.91,75.54
KANPUR,26.4,80.4
KOCHI,10.15,76.39
KOLHAPUR,16.66,74.28
MYSORE,12.23,76.65
LUDHIANA,30.85,75.95
MUNDRA,22.83,69.76
NANDED,19.18,77.33
