S.No.,"CITY 1","CITY 2","PASSENGER TO CITY 2","PASSENGER FROM CITY 2"
1,AGARTALA,CHENNAI,728,594
2,"AGATTI ISLAND",KOCHI,860,727
3,AGRA,DELHI,0,42
4,AGRA,KHAJURAHO,270,0
5,AGRA,VARANASI,0,979
6,AHMEDABAD,BENGALURU,14184,13924
7,AHMEDABAD,BHOPAL,842,588
8,AHMEDABAD,CHENNAI,12151,12541
9,AHMEDABAD,COIMBATORE,779,809
10,AHMEDABAD,DELHI,65040,60975
11,AHMEDABAD,DIBRUGARH,318,356
12,AHMEDABAD,GOA,8940,9094
13,AHMEDABAD,GUWAHATI,977,1040
14,AHMEDABAD,HYDERABAD,9818,9588
15,AHMEDABAD,IMPHAL,0,82
16,AHMEDABAD,INDORE,2017,2409
17,AHMEDABAD,JAIPUR,4177,3424
18,AHMEDABAD,KOCHI,2651,2629
19,AHMEDABAD,KOLKATA,13271,11882
20,AHMEDABAD,LUCKNOW,1265,898
21,AHMEDABAD,MUMBAI,89493,92810
22,AHMEDABAD,NAGPUR,1234,1066
23,AHMEDABAD,PUNE,15279,16115
24,AHMEDABAD,RAIPUR,933,912
25,AIZAWL,IMPHAL,423,427
26,AIZAWL,KOLKATA,2550,2490
27,AMRITSAR,BENGALURU,141,159
28,AMRITSAR,CHENNAI,302,516
29,AMRITSAR,DELHI,29968,31698
30,AMRITSAR,MUMBAI,5581,5851
31,AMRITSAR,SRINAGAR,2868,4447
32,BAGDOGRA,CHENNAI,1519,1663
33,BELGAUM,CHENNAI,605,518
34,BENGALURU,AGARTALA,583,985
35,BENGALURU,BAGDOGRA,2718,2988
36,BENGALURU,BELGAUM,3466,3284
37,BENGALURU,CHANDIGARH,9824,10055
38,BENGALURU,CHENNAI,29793,30079
39,BENGALURU,COCHIN,6827,6960
40,BENGALURU,COIMBATORE,5530,5404
41,BENGALURU,"DEHRA DUN",616,737
42,BENGALURU,DELHI,145466,146834
43,BENGALURU,GOA,26146,26034
44,BENGALURU,GUWAHATI,4591,4430
45,BENGALURU,HUBLI,2096,2199
46,BENGALURU,HYDERABAD,47492,48990
47,BENGALURU,IMPHAL,420,312
48,BENGALURU,INDORE,1448,2121
49,BENGALURU,JABALPUR,176,258
50,BENGALURU,JAIPUR,23878,21797
51,BENGALURU,JODHPUR,490,438
52,BENGALURU,JORHAT,135,114
53,BENGALURU,KOCHI,21754,21288
54,BENGALURU,KOLKATA,46541,44310
55,BENGALURU,KOZHIKODE,1792,1629
56,BENGALURU,LUCKNOW,6198,6122
57,BENGALURU,MADURAI,1250,1379
58,BENGALURU,MANGALORE,14429,14591
59,BENGALURU,MUMBAI,136605,135179
60,BENGALURU,MYSORE,60,155
61,BENGALURU,NAGPUR,4214,3749
62,BENGALURU,PATNA,2702,2321
63,BENGALURU,PUNE,45292,45988
64,BENGALURU,RAIPUR,2251,2345
65,BENGALURU,RAJAHMUNDRY,369,299
66,BENGALURU,RAJKOT,409,580
67,BENGALURU,RANCHI,3081,2675
68,BENGALURU,SRINAGAR,408,862
69,BENGALURU,TRIVANDRUM,14255,14228
70,BENGALURU,VARANASI,4776,4352
71,BENGALURU,VIJAYAWADA,3200,3273
72,BENGALURU,VISAKHAPATNAM,15054,14563
73,BHAVNAGAR,MUMBAI,1391,1654
74,BHOPAL,CHANDIGARH,118,187
75,BHOPAL,DELHI,15932,15533
76,BHOPAL,HYDERABAD,828,857
77,BHOPAL,INDORE,90,0
78,BHOPAL,LUCKNOW,204,0
79,BHOPAL,MUMBAI,12732,10985
80,BHOPAL,RAIPUR,0,722
81,BHOPAL,UDAIPUR,0,7
82,BHUBANESWAR,BENGALURU,7082,7191
83,BHUBANESWAR,CHENNAI,1994,2032
84,BHUBANESWAR,COIMBATORE,313,362
85,BHUBANESWAR,DELHI,29275,32839
86,BHUBANESWAR,HYDERABAD,5855,6248
87,BHUBANESWAR,KOLKATA,12428,11581
88,BHUBANESWAR,MUMBAI,18202,18691
89,BHUBANESWAR,"PORT BLAIR",183,0
90,BHUBANESWAR,VARANASI,562,591
91,BHUBANESWAR,VISAKHAPATNAM,693,654
92,BHUJ,DELHI,365,372
93,BHUJ,MUMBAI,6021,6343
94,CHANDIGARH,CHENNAI,627,661
95,CHANDIGARH,SRINAGAR,5091,5400
96,CHENNAI,PUNE,27889,27714
97,CHENNAI,RAIPUR,1675,1875
98,CHENNAI,SRINAGAR,352,407
