S.No.,"CITY 1","CITY 2","PASSENGERS TO CITY 2","PASSENGERS FROM CITY 2"
1,AGARTALA,CHENNAI,3316,4470
2,AGARTALA,"PORT BLAIR",0,8
3,AGARTALA,PUNE,119,0
4,AGARTALA,VISAKHAPATNAM,46,0
5,"AGATTI ISLAND",KOCHI,966,1173
6,AGRA,DELHI,0,29
7,AGRA,JAIPUR,330,341
8,AGRA,KHAJURAHO,522,0
9,AGRA,VARANASI,0,878
10,AHMEDABAD,BENGALURU,42348,42407
11,AHMEDABAD,BHUBANESWAR,485,0
12,AHMEDABAD,CHENNAI,20187,19809
13,AHMEDABAD,COIMBATORE,701,866
14,AHMEDABAD,DELHI,98231,95450
15,AHMEDABAD,DIU,4,7
16,AHMEDABAD,GOA,13502,14336
17,AHMEDABAD,GUWAHATI,403,261
18,AHMEDABAD,HYDERABAD,24853,24323
19,AHMEDABAD,IMPHAL,0,61
20,AHMEDABAD,INDORE,1463,1433
21,AHMEDABAD,JAIPUR,13034,11892
22,AHMEDABAD,JAMNAGAR,1,0
23,AHMEDABAD,KOCHI,5057,5545
24,AHMEDABAD,KOLKATA,19232,18343
25,AHMEDABAD,LUCKNOW,5405,5027
26,AHMEDABAD,MANGALORE,0,148
27,AHMEDABAD,MUMBAI,90437,86821
28,AHMEDABAD,MUNDRA,17,13
29,AHMEDABAD,NAGPUR,461,366
30,AHMEDABAD,PUNE,21575,21698
31,AHMEDABAD,TRIVANDRUM,311,562
32,AHMEDABAD,VARANASI,4514,4189
33,AHMEDABAD,VISAKHAPATNAM,461,782
34,AIZAWL,AHMEDABAD,9,9
35,AIZAWL,DELHI,768,591
36,AIZAWL,GUWAHATI,2985,2587
37,AIZAWL,IMPHAL,195,206
38,AIZAWL,KOLKATA,6575,5865
39,AIZAWL,MUMBAI,205,177
40,AMRITSAR,BAGDOGRA,0,205
41,AMRITSAR,BENGALURU,2892,2993
42,AMRITSAR,CHENNAI,170,0
43,AMRITSAR,COIMBATORE,0,146
44,AMRITSAR,DELHI,55792,56688
45,AMRITSAR,GOA,0,238
46,AMRITSAR,JAMMU,1075,1152
47,AMRITSAR,KOLKATA,259,273
48,AMRITSAR,MUMBAI,14954,15236
49,AMRITSAR,NANDED,1032,936
50,AMRITSAR,PUNE,666,649
51,AMRITSAR,SRINAGAR,2801,2725
52,BAGDOGRA,CHENNAI,1990,2429
53,BAGDOGRA,RANCHI,0,16
54,BELGAUM,CHENNAI,1812,1950
55,BELGAUM,JABALPUR,7,10
56,BENGALURU,AGARTALA,977,1480
57,BENGALURU,BAGDOGRA,5641,5353
58,BENGALURU,BELGAUM,3943,3988
59,BENGALURU,CHANDIGARH,4211,3924
60,BENGALURU,CHENNAI,50168,47750
61,BENGALURU,COIMBATORE,16407,17978
62,BENGALURU,"DEHRA DUN",5211,4777
63,BENGALURU,DELHI,184090,179121
64,BENGALURU,GOA,41585,42838
65,BENGALURU,GUWAHATI,16198,14815
66,BENGALURU,HUBLI,2408,2479
67,BENGALURU,HYDERABAD,94705,93468
68,BENGALURU,IMPHAL,811,811
69,BENGALURU,INDORE,5666,6081
70,BENGALURU,JAIPUR,27122,24844
71,BENGALURU,JAMMU,13,209
72,BENGALURU,JODHPUR,424,472
73,BENGALURU,KOCHI,52978,56355
74,BENGALURU,KOLKATA,74483,73853
75,BENGALURU,KOZHIKODE,3366,3364
76,BENGALURU,LUCKNOW,22882,19242
77,BENGALURU,MADURAI,7146,7317
78,BENGALURU,MANGALORE,24959,24896
79,BENGALURU,MUMBAI,145722,146748
80,BENGALURU,NAGPUR,12026,12331
81,BENGALURU,PATNA,18892,12530
