S.No.,"CITY 1","CITY 2","PASSENGERS 
TO CITY 2","PASSENGERS 
FROM CITY 2","FREIGHT 
TO CITY 2","FREIGHT 
FROM CITY 2","MAIL 
TO CITY 2","MAIL 
FROM CITY 2"
1,ADAMPUR,DELHI,2258,2190,0,0.86,0,0
2,AGARTALA,CHENNAI,4971,2452,1.218,0.129,0,0.29112
3,AGARTALA,PUNE,165,0,0.024,0,0.55825,0
4,AGARTALA,SHILLONG,43,27,0,0,0,0
5,AGARTALA,VISAKHAPATNAM,198,2,0.134,0,0,0
6,"AGATTI ISLAND",BENGALURU,100,106,0,0,0,0
7,"AGATTI ISLAND",KOCHI,998,1218,0,0,0,0
8,AGRA,DELHI,0,42,0,0,0,0
9,AGRA,KHAJURAHO,96,0,0,0,0,0
10,AGRA,VARANASI,0,389,0,0,0,0
11,AHMEDABAD,AURANGABAD,0,23,0,0,0,0
12,AHMEDABAD,BENGALURU,59614,49606,330.16067,223.69551,1.5368,2.3027
13,AHMEDABAD,BHAVNAGAR,56,105,0,0,0,0
14,AHMEDABAD,BHUBANESWAR,204,0,7.6455,0,0.746,0
15,AHMEDABAD,CHENNAI,21828,20021,184.89101,217.21971,0,0
16,AHMEDABAD,COIMBATORE,879,888,0,0,0,0
17,AHMEDABAD,DELHI,111627,104833,1281.07961,1309.28312,2.8572,37.86699
18,AHMEDABAD,DIU,107,95,0,0,0,0
19,AHMEDABAD,GOA,15874,16138,1.512,12.497,0,0
20,AHMEDABAD,HYDERABAD,29989,26905,145.04846,74.02279,0.2995,0.23
21,AHMEDABAD,IMPHAL,0,90,0,0,0,0
22,AHMEDABAD,INDORE,1624,1589,0.09,0.4187,0.5505,0
23,AHMEDABAD,JAIPUR,13059,11473,38.74047,16.4246,0,3.00828
24,AHMEDABAD,JAMNAGAR,10,13,0,0,0,0
25,AHMEDABAD,KOCHI,8117,8948,14.4452,3.025,3.64346,0.7213
26,AHMEDABAD,KOLKATA,21281,19856,249.24006,325.5572,1.42195,7.09207
27,AHMEDABAD,KOZHIKODE,248,236,0.032,0,0,0
28,AHMEDABAD,LUCKNOW,4912,5593,20.93962,10.56675,2.76455,0.7785
29,AHMEDABAD,MUMBAI,92209,79812,1009.21668,846.4977,6.46315,17.57113
30,AHMEDABAD,MUNDRA,114,114,0,0,0,0
31,AHMEDABAD,NAGPUR,431,318,27.695,0.322,0,0
32,AHMEDABAD,PUNE,24095,22579,25.57535,84.81775,1.2595,0.79
33,AHMEDABAD,VARANASI,4792,5067,19.9853,0.002,0,0
34,AHMEDABAD,VISAKHAPATNAM,493,663,1.7948,32.488,0,0
35,AIZAWL,DELHI,1130,2463,1.17,3.1595,1.5919,8.9734
36,AIZAWL,GUWAHATI,3806,3247,1.753,13.319,10.1962,5.8932
37,AIZAWL,IMPHAL,116,131,0,0,0.643,0.067
38,AIZAWL,KOLKATA,3931,4004,1.481,15.2818,15.0735,10.3835
39,AMRITSAR,BAGDOGRA,0,101,0,0,0,0.01486
40,AMRITSAR,BENGALURU,3855,3048,44.8984,9.274,0,0.0539
41,AMRITSAR,COIMBATORE,0,92,0,0.1385,0,0
42,AMRITSAR,DELHI,43826,40206,96.58472,36.9099,1.4739,9.7323
43,AMRITSAR,GOA,0,127,0,0,0,0
44,AMRITSAR,MUMBAI,14059,13709,6.70144,11.82683,0,0.5867
45,AMRITSAR,NANDED,1021,931,0,0,0,0
46,AMRITSAR,PUNE,193,418,0.0091,1.1472,0,0
47,AMRITSAR,SRINAGAR,2947,2476,0.189,0.025,2.729,0
48,BAGDOGRA,CHENNAI,1014,1713,0.716,0.559,0.33815,0
49,BELGAUM,CHENNAI,903,972,0,0.07,0,0
50,BELGAUM,JABALPUR,4,5,0,0,0,0
51,BENGALURU,AGARTALA,3929,884,0.522,0.00575,0.73465,0
52,BENGALURU,BAGDOGRA,5668,5823,12.10691,10.221,2.49779,0
53,BENGALURU,BELGAUM,2920,3062,2.77359,0,0,0
54,BENGALURU,CHANDIGARH,3802,4330,26.311,65.22132,0.8401,0.616
55,BENGALURU,CHENNAI,50200,54998,510.29094,436.75643,3.1916,6.31973
56,BENGALURU,COIMBATORE,16231,19120,4.5281,17.5911,1.3452,0
57,BENGALURU,"DEHRA DUN",4999,5167,3.665,15.872,1.2227,0.02
58,BENGALURU,DELHI,185889,204057,2577.98965,2813.5267,14.46923,43.8093
59,BENGALURU,GOA,42971,45986,15.7732,15.77975,0,0.5579
60,BENGALURU,GUWAHATI,18774,20273,57.88456,8.032,4.25672,3.23505
61,BENGALURU,HUBLI,4057,4407,0.71,0,0,0
62,BENGALURU,HYDERABAD,94024,102480,170.74118,233.53906,2.54371,3.9869
63,BENGALURU,IMPHAL,790,1019,5.891,4.915,0,0
